form_id,start_date,end_date,location_id,location_name,country,post_emergency,persons_per_handpump,persons_per_tap,liters_per_person_per_day,non_chlorinated_0_cfu,chlorinated_safe_water_quality,households_with_toilet,persons_per_toilet,persons_per_shower,persons_per_hygiene_promoter,refugee_pop,reporting_monthly,liters_per_person_household,potable_water_storage_10l,protected_water_sources,menstrual_hygiene_satisfaction,household_toilet,defecate_in_toilet,access_to_soap,solid_waste_disposal_access,reporting_annual
54418187,1/1/2024,12/31/2024,518,Dagahaley,Kenya,,,,,,,,,,,,,18.2,99,98,64,42,83,87,96,5/17/2024
54418188,1/1/2024,12/31/2024,519,Hagadera,Kenya,,,,,,,,,,,,,13.4,98,97,72,39,91,75,99,5/17/2024
54418189,1/1/2024,12/31/2024,520,Ifo,Kenya,,,,,,,,,,,,,15,99,87,63,43,89,69,95,5/17/2024
54418190,1/1/2024,12/31/2024,5105,Ifo 2,Kenya,,,,,,,,,,,,,12.9,100,100,100,22,49,13,98,5/17/2024
54414021,12/2/2024,12/29/2024,541,Buramino,Ethiopia,Post-emergency,,,9,,100,9,73,,,49000,20058,,,,,,,,,
54420986,9/2/2024,9/29/2024,209,Lovua settlement,Angola,Post-emergency,,89,23,,,57,7,20,1043,6262,19967,,,,,,,,,
54420051,9/2/2024,9/29/2024,445,Arbat,Iraq,Post-emergency,,,50,100,100,100,5,5,,9138,19967,,,,,,,,,
54420052,9/2/2024,9/29/2024,446,Basirma,Iraq,Post-emergency,,19,17,100,100,100,5,5,,9294,19967,,,,,,,,,
54420054,9/2/2024,9/29/2024,442,Kawergosk,Iraq,Post-emergency,,6,115,100,100,100,6,5,974,7795,19967,,,,,,,,,
54420055,9/2/2024,9/29/2024,444,Qushtapa,Iraq,Post-emergency,,7,98,100,100,100,6,6,95,8392,19967,,,,,,,,,
54419956,9/2/2024,9/29/2024,518,Dagahaley,Kenya,Post-emergency,,133,20,,99,53,9,,6206,111725,19967,,,,,,,,,
54419957,9/2/2024,9/29/2024,519,Hagadera,Kenya,Post-emergency,,176,18,,100,60,9,,4721,146356,19967,,,,,,,,,
54419958,9/2/2024,9/29/2024,520,Ifo,Kenya,Post-emergency,,89,17,,97,57,9,,5692,102459,19967,,,,,,,,,
54419959,9/2/2024,9/29/2024,5105,Ifo 2,Kenya,Post-emergency,,91,26,,100,15,18,,2455,22099,19967,,,,,,,,,
54419740,9/2/2024,9/29/2024,313,Dzaleka,Malawi,Post-emergency,741,86,13,,,75,5,7,1053,55829,19967,,,,,,,,,
54419158,7/29/2024,9/1/2024,209,Lovua settlement,Angola,Post-emergency,,90,16,,,61,7,20,1050,6304,19936,,,,,,,,,
54418768,7/29/2024,9/1/2024,543,Bambasi,Ethiopia,Post-emergency,,142,15,,100,41,12,17,1174,21137,19936,,,,,,,,,
54418771,7/29/2024,9/1/2024,525,Sherkole,Ethiopia,Post-emergency,7873,169,20,,100,33,12,11,1253,16295,19936,,,,,,,,,
54418773,7/29/2024,9/1/2024,496,Tsore Camp (Assosa),Ethiopia,Post-emergency,,198,15,,100,31,14,14,2403,43260,19936,,,,,,,,,
54420041,7/29/2024,9/1/2024,445,Arbat,Iraq,Post-emergency,,,54,100,100,100,5,5,,9138,19936,,,,,,,,,
54420043,7/29/2024,9/1/2024,446,Basirma,Iraq,Post-emergency,,19,17,100,100,100,5,5,,9294,19936,,,,,,,,,
54420047,7/29/2024,9/1/2024,442,Kawergosk,Iraq,Post-emergency,,6,122,100,100,100,6,5,974,7795,19936,,,,,,,,,
54420048,7/29/2024,9/1/2024,444,Qushtapa,Iraq,Post-emergency,,7,101,100,100,100,6,6,95,8392,19936,,,,,,,,,
54419822,7/29/2024,9/1/2024,518,Dagahaley,Kenya,Post-emergency,,133,19,,99,53,9,,6206,111725,19936,,,,,,,,,
54419823,7/29/2024,9/1/2024,519,Hagadera,Kenya,Post-emergency,,176,16,,99,60,9,,4721,146356,19936,,,,,,,,,
54419825,7/29/2024,9/1/2024,520,Ifo,Kenya,Post-emergency,,89,16,,99,57,9,,5692,102459,19936,,,,,,,,,
54419826,7/29/2024,9/1/2024,5105,Ifo 2,Kenya,Post-emergency,,91,19,,100,10,22,,2455,22099,19936,,,,,,,,,
54419689,7/29/2024,9/1/2024,313,Dzaleka,Malawi,Post-emergency,741,86,13,,,0,5,7,1045,55425,19936,,,,,,,,,
54418973,7/29/2024,9/1/2024,4889,Centre humanitaire Agadez,Niger,Emergency,,,19,,,0,52,105,,2958,19936,,,,,,,,,
54418969,7/29/2024,9/1/2024,4370,Chadakori,Niger,Post-emergency,,212,4,,,7,25,49,278,4461,19936,,,,,,,,,
54418971,7/29/2024,9/1/2024,4369,Dandaji Makao,Niger,Post-emergency,,302,8,,,8,19,34,188,3016,19936,,,,,,,,,
54418972,7/29/2024,9/1/2024,4371,Garin Kaka,Niger,Post-emergency,,130,15,,,17,13,33,113,1816,19936,,,,,,,,,
54418778,7/29/2024,9/1/2024,629,Kigeme,Rwanda,Post-emergency,,81,17,,100,0,34,42,818,14734,19936,,,,,,,,,
54419085,7/29/2024,9/1/2024,627,Kiziba,Rwanda,Post-emergency,,43,35,,100,0,21,60,319,14699,19936,,,,,,,,,
54419090,7/29/2024,9/1/2024,631,Mahama,Rwanda,Post-emergency,,83,21,100,100,0,19,19,620,63942,19936,,,,,,,,,
54418774,7/29/2024,9/1/2024,630,Mugombwa,Rwanda,Post-emergency,,76,23,,100,0,26,37,,11932,19936,,,,,,,,,
54419101,7/29/2024,9/1/2024,628,Nyabiheke,Rwanda,Post-emergency,,76,17,,97,0,16,40,322,11950,19936,,,,,,,,,
54418435,7/1/2024,7/28/2024,209,Lovua settlement,Angola,Post-emergency,,57,16,,,62,7,17,1047,6283,19905,,,,,,,,,
54418732,7/1/2024,7/28/2024,543,Bambasi,Ethiopia,Post-emergency,,141,19,,100,41,12,17,1172,21096,19905,,,,,,,,,
54418734,7/1/2024,7/28/2024,525,Sherkole,Ethiopia,Post-emergency,7826,168,13,,100,33,12,11,1242,16154,19905,,,,,,,,,
54418735,7/1/2024,7/28/2024,496,Tsore Camp (Assosa),Ethiopia,Post-emergency,,199,11,,100,31,14,14,2421,43580,19905,,,,,,,,,
54418779,7/1/2024,7/28/2024,445,Arbat,Iraq,Post-emergency,,,54,100,100,100,5,5,,9138,19905,,,,,,,,,
54418780,7/1/2024,7/28/2024,446,Basirma,Iraq,Post-emergency,,19,17,100,100,100,5,5,,9294,19905,,,,,,,,,
54418791,7/1/2024,7/28/2024,442,Kawergosk,Iraq,Post-emergency,,6,122,100,100,100,6,5,974,7795,19905,,,,,,,,,
54418792,7/1/2024,7/28/2024,444,Qushtapa,Iraq,Post-emergency,,7,101,100,100,100,6,6,95,8392,19905,,,,,,,,,
54419818,7/1/2024,7/28/2024,518,Dagahaley,Kenya,Post-emergency,,133,18,,98,53,9,,9310,111725,19905,,,,,,,,,
54419819,7/1/2024,7/28/2024,519,Hagadera,Kenya,Post-emergency,,176,14,,99,60,9,,12196,146356,19905,,,,,,,,,
54419820,7/1/2024,7/28/2024,520,Ifo,Kenya,Post-emergency,,89,16,,96,57,9,,8538,102459,19905,,,,,,,,,
54419821,7/1/2024,7/28/2024,5105,Ifo 2,Kenya,Post-emergency,,91,18,,,10,22,,3683,22099,19905,,,,,,,,,
54418074,7/1/2024,7/28/2024,313,Dzaleka,Malawi,Post-emergency,762,86,14,,91,84,4,6,942,49948,19905,,,,,,,,,
54418327,7/1/2024,7/28/2024,696,Abala,Niger,Post-emergency,,134,13,,,15,22,66,1571,11000,19905,,,,,,,,,
54418331,7/1/2024,7/28/2024,472,Ayerou,Niger,Post-emergency,,250,8,,,0,120,111,1285,9000,19905,,,,,,,,,
54417959,7/1/2024,7/28/2024,4889,Centre humanitaire Agadez,Niger,Emergency,,,20,,,0,50,101,,2837,19905,,,,,,,,,
54417813,7/1/2024,7/28/2024,4370,Chadakori,Niger,Post-emergency,,252,6,,,8,29,58,330,5282,19905,,,,,,,,,
54417814,7/1/2024,7/28/2024,4369,Dandaji Makao,Niger,Post-emergency,,418,9,,,8,27,48,261,4180,19905,,,,,,,,,
54417815,7/1/2024,7/28/2024,4371,Garin Kaka,Niger,Post-emergency,,210,12,,,13,20,54,183,2937,19905,,,,,,,,,
54418329,7/1/2024,7/28/2024,4382,Ouallam,Niger,Post-emergency,,98,16,,,27,15,101,,6467,19905,,,,,,,,,
54418078,7/1/2024,7/28/2024,3926,Sayam Forage,Niger,Post-emergency,,294,10,,100,14,24,149,3463,31174,19905,,,,,,,,,
54418777,7/1/2024,7/28/2024,629,Kigeme,Rwanda,Post-emergency,,81,17,,100,0,34,42,817,14715,19905,,,,,,,,,
